street_address,price,beds,baths,sqft,price/sqft,prop type,county,community,built,parking,air conditioning,kitchen,dishwasher,laundry,heating,elevator
Lot 1 Sherry Ln,299900,3,2.5,"1,812",$166 / Sq. Ft.,Single Family Detached,Worcester,Spencer,2017,,,True,,,,
Lot 0 N Spencer Rd,149000,—,—,—,Sq. Ft.,Residential,Worcester,Spencer,,,,,,,,
lot2 N Brookfield Rd,40000,—,—,—,Sq. Ft.,Residential,Worcester,Spencer,,,,,,,,
lot 1 N Brookfield Rd,40000,—,—,—,Sq. Ft.,Residential,Worcester,Spencer,,,,,,,,
24 Mechanic St,195900,7,8,"6,282",$31 / Sq. Ft.,5-9 Family,Worcester,Spencer,1870,True,,,,,,
53 Chestnut St,299000,16,11.5,"6,600",$45 / Sq. Ft.,5+ Family (Rooming House),Worcester,Spencer,1860,,,,,,,
9 Woodland Ln,245900,3,2,"1,200",$205 / Sq. Ft.,Single Family Detached,Worcester,Spencer,1945,,,,,True,,
Lot 2B Northwest Rd,45000,—,—,—,Sq. Ft.,Residential,Worcester,Spencer,,,,,,,,
Lot 4 Northwest Rd,50000,—,—,—,Sq. Ft.,Residential,Worcester,Spencer,,,,,,,,
Lot 3 Northwest Rd,60000,—,—,—,Sq. Ft.,Residential,Worcester,Spencer,,,,,,,,
20 McCormick Rd,1200000,2,1,"1,056",$1136 / Sq. Ft.,Single Family Detached,Worcester,Spencer,1929,,,,,,,
lot 2 Sullivan St,259900,3,2.5,"2,133",$122 / Sq. Ft.,Single Family Detached,Worcester,Spencer,2017,,,,,,,
24 ELM St,233636,12,6,"4,554",$51 / Sq. Ft.,5-9 Family,Worcester,Spencer,1900,,,,,,True,
9 Debbie Rd,295000,3,2.5,"1,900",$155 / Sq. Ft.,Single Family Detached,Worcester,Spencer,2016,,,True,,,,
120 Hastings Rd,320000,4,2.5,"2,913",$110 / Sq. Ft.,Single Family Detached,Worcester,Spencer,2000,,,True,,,,
15 Collier Cir,380000,4,2.5,"2,344",$162 / Sq. Ft.,Single Family Detached,Worcester,Spencer,1993,,,True,,True,,
15 Donnelly Rd,79900,2,1.5,"1,053",$76 / Sq. Ft.,Single Family Detached,Worcester,"CLOSE TO ROUTE 9, SHOPPING AND RESTAURANTS",1955,,,True,,,,
259 Main St,309900,5,2,"3,362",$92 / Sq. Ft.,Single Family Detached,Worcester,Spencer,1856,,,,,True,,
215 Main St,269000,10,6,"5,208",$52 / Sq. Ft.,5-9 Family,Worcester,Spencer,1880,,,,,,,
64 Smithville Rd,79900,2,1,"1,176",$68 / Sq. Ft.,Single Family Detached,Worcester,Spencer,1940,,,,,,,
Lots 1 I Capen Rd,50000,—,—,—,Sq. Ft.,Residential,Worcester,Spencer,,,,,,,,
Lots 3 I Capen Rd,35000,—,—,—,Sq. Ft.,Residential,Worcester,Spencer,,,,,,,,
Lot 8 E Charlton Rd,50000,—,—,—,Sq. Ft.,Residential,Worcester,Spencer,,,,,,,,
5 E Charlton Rd,50000,—,—,—,Sq. Ft.,Residential,Worcester,Spencer,,,,,,,,
Lot 6 E Charlton Rd,50000,—,—,—,Sq. Ft.,Residential,Worcester,Spencer,,,,,,,,
Lot 2 A Northwest Rd,55000,—,—,—,Sq. Ft.,Residential,Worcester,Spencer,,,,,,,,
